Gender_F_Flag,Gender_M_Flag,Residence_distance_from_store,time_in_store,accompanying_people,family_size,total_purchase_amount,F1,F2,F3,F4
0,1,5,36,1,5,1252,0,1296,1,25
0,1,3,37,3,3,786,0,1369,9,9
0,1,5,38,3,4,1251,0,1444,9,25
1,0,7,54,4,2,1886,54,2916,16,49
1,0,5,52,2,5,1550,52,2704,4,25
0,1,5,36,1,4,1463,0,1296,1,25
1,0,3,53,5,4,1664,53,2809,25,9
1,0,4,52,2,4,1790,52,2704,4,16
0,1,1,35,2,6,836,0,1225,4,1
1,0,6,53,4,5,1728,53,2809,16,36
1,0,3,52,4,2,1231,52,2704,16,9
1,0,5,52,2,4,1558,52,2704,4,25
1,0,6,53,3,4,1601,53,2809,9,36
1,0,5,53,3,4,1956,53,2809,9,25
1,0,4,51,1,4,1037,51,2601,1,16
1,0,3,53,5,2,1685,53,2809,25,9
1,0,6,52,1,4,1743,52,2704,1,36
0,1,3,37,4,5,1560,0,1369,16,9
0,1,7,39,4,3,2367,0,1521,16,49
1,0,5,53,3,2,1761,53,2809,9,25
1,0,3,53,5,4,1653,53,2809,25,9
1,0,5,52,2,3,722,52,2704,4,25
0,1,7,38,2,5,1327,0,1444,4,49
1,0,5,53,3,5,2306,53,2809,9,25
1,0,8,54,5,5,2618,54,2916,25,64
1,0,4,52,2,2,1063,52,2704,4,16
1,0,5,53,3,4,1685,53,2809,9,25
0,1,3,36,1,6,1030,0,1296,1,9
1,0,6,52,2,4,1422,52,2704,4,36
1,0,2,51,2,4,1150,51,2601,4,4
0,1,6,37,2,2,1532,0,1369,4,36
0,1,6,37,2,4,1588,0,1369,4,36
1,0,6,52,1,4,1307,52,2704,1,36
0,1,7,39,5,5,1685,0,1521,25,49
1,0,7,53,2,6,1681,53,2809,4,49
1,0,11,54,3,3,2499,54,2916,9,121
0,1,8,38,2,5,1597,0,1444,4,64
1,0,6,53,3,4,1799,53,2809,9,36
1,0,6,52,2,3,1706,52,2704,4,36
0,1,2,38,6,3,2198,0,1444,36,4
1,0,1,51,4,4,1154,51,2601,16,1
1,0,1,53,7,4,1890,53,2809,49,1
0,1,2,36,3,3,1018,0,1296,9,4
0,1,5,35,0,3,675,0,1225,0,25
1,0,10,54,4,3,2457,54,2916,16,100
1,0,6,52,2,3,1753,52,2704,4,36
1,0,3,52,4,5,1688,52,2704,16,9
0,1,4,39,7,3,2349,0,1521,49,16
0,1,3,36,2,5,1025,0,1296,4,9
1,0,6,53,3,5,1749,53,2809,9,36
1,0,4,53,5,4,2112,53,2809,25,16
0,1,4,37,3,4,1193,0,1369,9,16
1,0,7,54,4,5,2173,54,2916,16,49
0,1,4,39,6,5,1534,0,1521,36,16
0,1,4,37,2,6,1024,0,1369,4,16
1,0,2,51,2,4,1050,51,2601,4,4
0,1,3,36,2,5,1314,0,1296,4,9
1,0,9,53,2,1,1889,53,2809,4,81
1,0,6,52,2,4,1760,52,2704,4,36
0,1,4,37,3,4,1247,0,1369,9,16
0,1,5,37,2,3,1255,0,1369,4,25
0,1,2,36,3,3,1654,0,1296,9,4
1,0,2,51,2,3,884,51,2601,4,4
0,1,5,36,1,3,1157,0,1296,1,25
1,0,3,52,3,3,1216,52,2704,9,9
1,0,2,51,3,6,959,51,2601,9,4
1,0,4,52,2,4,1542,52,2704,4,16
1,0,5,53,3,3,1915,53,2809,9,25
1,0,5,53,4,2,1841,53,2809,16,25
1,0,1,51,3,4,1417,51,2601,9,1
1,0,2,50,1,5,994,50,2500,1,4
1,0,5,53,4,3,1572,53,2809,16,25
1,0,4,52,3,4,1794,52,2704,9,16
1,0,7,54,4,4,1740,54,2916,16,49
1,0,4,53,4,4,1608,53,2809,16,16
0,1,8,38,2,2,1267,0,1444,4,64
1,0,4,54,7,4,1791,54,2916,49,16
0,1,4,36,1,4,1203,0,1296,1,16
1,0,5,50,0,4,1315,50,2500,0,25
1,0,4,52,3,5,1845,52,2704,9,16
0,1,4,37,3,3,1275,0,1369,9,16
0,1,6,38,4,4,1979,0,1444,16,36
1,0,7,53,3,4,2127,53,2809,9,49
0,1,5,39,5,4,1717,0,1521,25,25
0,1,3,37,3,4,1118,0,1369,9,9
1,0,6,54,5,3,2332,54,2916,25,36
1,0,2,50,1,3,811,50,2500,1,4
1,0,6,54,5,6,2258,54,2916,25,36
1,0,5,53,4,4,1916,53,2809,16,25
1,0,5,53,4,3,1578,53,2809,16,25
0,1,3,37,3,2,1627,0,1369,9,9
1,0,4,52,2,4,1739,52,2704,4,16
1,0,1,53,7,4,1784,53,2809,49,1
1,0,5,53,3,3,1399,53,2809,9,25
1,0,8,52,1,5,1605,52,2704,1,64
0,1,8,40,7,2,2399,0,1600,49,64
1,0,6,53,4,2,1764,53,2809,16,36
0,1,3,37,4,5,985,0,1369,16,9
1,0,2,52,4,3,1639,52,2704,16,4
0,1,6,37,2,2,1265,0,1369,4,36
1,0,4,53,5,5,1967,53,2809,25,16
0,1,9,39,3,6,2080,0,1521,9,81
1,0,6,54,5,6,2304,54,2916,25,36
0,1,5,38,4,5,1524,0,1444,16,25
1,0,10,54,4,4,2234,54,2916,16,100
1,0,5,52,2,5,1149,52,2704,4,25
1,0,5,51,1,4,1136,51,2601,1,25
0,1,9,38,2,4,1551,0,1444,4,81
1,0,5,53,3,5,1660,53,2809,9,25
1,0,5,53,3,3,1434,53,2809,9,25
1,0,7,52,1,6,1385,52,2704,1,49
1,0,4,53,4,5,2295,53,2809,16,16
1,0,1,50,2,6,854,50,2500,4,1
0,1,5,36,1,3,722,0,1296,1,25
1,0,5,54,6,3,1876,54,2916,36,25
0,1,9,39,3,4,2184,0,1521,9,81
1,0,4,52,3,3,1133,52,2704,9,16
1,0,5,53,4,3,1472,53,2809,16,25
1,0,5,54,5,4,1477,54,2916,25,25
0,1,8,40,6,4,2072,0,1600,36,64
1,0,9,54,3,5,2030,54,2916,9,81
1,0,2,52,4,5,1973,52,2704,16,4
0,1,2,37,4,3,1534,0,1369,16,4
1,0,5,53,3,5,1582,53,2809,9,25
1,0,4,53,5,5,1893,53,2809,25,16
1,0,5,54,5,5,1943,54,2916,25,25
0,1,8,39,4,3,2057,0,1521,16,64
1,0,5,53,3,5,1286,53,2809,9,25
1,0,6,51,0,4,1109,51,2601,0,36
0,1,6,38,4,2,1765,0,1444,16,36
0,1,3,36,2,3,740,0,1296,4,9
0,1,8,38,2,4,1697,0,1444,4,64
1,0,6,53,4,4,1817,53,2809,16,36
1,0,1,51,4,6,1645,51,2601,16,1
1,0,4,50,0,2,926,50,2500,0,16
0,1,0,36,6,5,1276,0,1296,36,0
0,1,4,37,3,5,1329,0,1369,9,16
0,1,6,38,4,4,2091,0,1444,16,36
1,0,5,50,0,4,1145,50,2500,0,25
1,0,6,53,4,3,2222,53,2809,16,36
0,1,6,39,6,4,1986,0,1521,36,36
1,0,7,53,3,4,1917,53,2809,9,49
0,1,5,38,3,3,1446,0,1444,9,25
1,0,7,53,2,4,1166,53,2809,4,49
1,0,3,52,3,3,1542,52,2704,9,9
1,0,4,53,4,4,1955,53,2809,16,16
0,1,4,37,3,4,1573,0,1369,9,16
1,0,4,51,1,5,826,51,2601,1,16
1,0,5,53,3,4,1488,53,2809,9,25
0,1,5,39,5,4,1790,0,1521,25,25
1,0,4,53,5,2,1991,53,2809,25,16
0,1,3,37,3,2,1355,0,1369,9,9
1,0,6,51,0,3,1240,51,2601,0,36
1,0,9,55,5,5,1956,55,3025,25,81
1,0,3,52,3,5,1866,52,2704,9,9
0,1,6,39,5,4,1841,0,1521,25,36
0,1,3,37,3,5,1081,0,1369,9,9
0,1,7,40,6,3,1977,0,1600,36,49
1,0,3,52,3,5,1149,52,2704,9,9
1,0,2,51,3,2,1321,51,2601,9,4
1,0,4,53,5,4,1503,53,2809,25,16
1,0,6,52,2,3,1676,52,2704,4,36
0,1,10,38,2,3,1440,0,1444,4,100
1,0,8,54,4,5,1708,54,2916,16,64
1,0,6,52,2,5,1510,52,2704,4,36
1,0,9,55,6,3,2274,55,3025,36,81
1,0,8,56,9,4,2895,56,3136,81,64
1,0,6,52,1,4,1112,52,2704,1,36
0,1,6,38,4,4,1254,0,1444,16,36
1,0,1,50,1,4,979,50,2500,1,1
1,0,3,51,2,4,1292,51,2601,4,9
1,0,4,54,6,4,1597,54,2916,36,16
0,1,5,38,4,3,1269,0,1444,16,25
1,0,6,52,2,5,1402,52,2704,4,36
1,0,5,54,5,5,2085,54,2916,25,25
1,0,9,53,2,4,2277,53,2809,4,81
1,0,3,54,7,4,1827,54,2916,49,9
0,1,6,40,8,3,2321,0,1600,64,36
1,0,1,50,1,4,854,50,2500,1,1
1,0,10,54,3,2,2481,54,2916,9,100
0,1,3,36,1,2,707,0,1296,1,9
1,0,7,52,1,5,1683,52,2704,1,49
0,1,2,35,1,4,1020,0,1225,1,4
0,1,7,36,0,3,909,0,1296,0,49
1,0,7,51,0,5,1377,51,2601,0,49
1,0,4,51,1,4,908,51,2601,1,16
0,1,7,38,2,3,1635,0,1444,4,49
1,0,6,52,1,3,1288,52,2704,1,36
1,0,10,55,5,3,2545,55,3025,25,100
1,0,6,52,2,4,1704,52,2704,4,36
1,0,4,52,3,4,1408,52,2704,9,16
1,0,4,53,5,5,1768,53,2809,25,16
1,0,8,55,6,4,2361,55,3025,36,64
1,0,3,51,2,4,1369,51,2601,4,9
1,0,7,54,4,4,2265,54,2916,16,49
1,0,4,51,1,3,1183,51,2601,1,16
1,0,8,53,3,5,1875,53,2809,9,64
1,0,8,52,1,3,1891,52,2704,1,64
1,0,7,55,7,5,2548,55,3025,49,49
0,1,6,37,2,5,1953,0,1369,4,36
1,0,8,52,1,5,1858,52,2704,1,64
1,0,6,52,1,4,1410,52,2704,1,36
1,0,6,54,5,4,2121,54,2916,25,36
1,0,5,50,0,5,1037,50,2500,0,25
1,0,2,51,3,4,1565,51,2601,9,4
1,0,2,52,4,3,1275,52,2704,16,4
0,1,2,38,6,4,1787,0,1444,36,4
0,1,3,36,2,3,1404,0,1296,4,9
1,0,4,52,2,2,1445,52,2704,4,16
1,0,9,52,1,4,1711,52,2704,1,81
1,0,6,53,3,6,1779,53,2809,9,36
1,0,8,51,0,4,1209,51,2601,0,64
0,1,4,39,6,4,2215,0,1521,36,16
0,1,4,38,4,4,1380,0,1444,16,16
0,1,4,37,3,5,1488,0,1369,9,16
1,0,4,51,1,5,1600,51,2601,1,16
0,1,6,39,5,4,1407,0,1521,25,36
1,0,7,53,2,3,1444,53,2809,4,49
1,0,3,51,2,4,912,51,2601,4,9
1,0,10,55,6,4,3008,55,3025,36,100
1,0,7,54,4,4,1839,54,2916,16,49
1,0,8,53,2,2,2143,53,2809,4,64
1,0,3,51,2,4,980,51,2601,4,9
1,0,4,52,3,3,1462,52,2704,9,16
1,0,6,53,3,4,1721,53,2809,9,36
1,0,8,53,3,4,1826,53,2809,9,64
1,0,2,51,3,3,1246,51,2601,9,4
1,0,7,54,4,4,1850,54,2916,16,49
1,0,4,53,4,4,1466,53,2809,16,16
0,1,7,39,4,4,2081,0,1521,16,49
1,0,4,52,3,5,1801,52,2704,9,16
0,1,10,38,2,6,1686,0,1444,4,100
1,0,10,53,2,3,2513,53,2809,4,100
0,1,4,38,4,4,1388,0,1444,16,16
1,0,4,53,4,4,1841,53,2809,16,16
1,0,3,52,3,5,1842,52,2704,9,9
1,0,4,53,4,4,1356,53,2809,16,16
1,0,2,51,3,5,1416,51,2601,9,4
1,0,6,52,1,4,1450,52,2704,1,36
1,0,6,52,2,5,1281,52,2704,4,36
1,0,11,54,3,4,2163,54,2916,9,121
0,1,6,37,1,5,1508,0,1369,1,36
1,0,8,52,1,5,1677,52,2704,1,64
1,0,3,52,3,5,1068,52,2704,9,9
1,0,7,53,2,2,1961,53,2809,4,49
1,0,4,53,4,3,1747,53,2809,16,16
1,0,5,52,2,4,1468,52,2704,4,25
1,0,4,53,4,4,1707,53,2809,16,16
1,0,5,53,3,3,2026,53,2809,9,25
1,0,3,51,2,4,1412,51,2601,4,9
1,0,5,51,1,2,824,51,2601,1,25
1,0,6,52,2,5,1005,52,2704,4,36
1,0,2,51,2,5,1152,51,2601,4,4
0,1,4,38,5,4,840,0,1444,25,16
1,0,1,51,3,4,1327,51,2601,9,1
0,1,6,39,5,4,1821,0,1521,25,36
1,0,7,53,2,4,1995,53,2809,4,49
1,0,3,51,1,4,1429,51,2601,1,9
1,0,3,52,3,5,1328,52,2704,9,9
1,0,11,52,0,6,1936,52,2704,0,121
1,0,3,51,2,6,1301,51,2601,4,9
1,0,3,52,3,4,983,52,2704,9,9
1,0,10,54,4,6,2472,54,2916,16,100
1,0,4,53,5,4,1852,53,2809,25,16
1,0,6,51,0,5,1066,51,2601,0,36
1,0,10,54,4,4,2095,54,2916,16,100
1,0,7,53,2,4,1763,53,2809,4,49
1,0,5,52,2,6,1853,52,2704,4,25
1,0,3,52,4,3,1419,52,2704,16,9
1,0,4,51,1,5,1238,51,2601,1,16
1,0,4,52,2,5,1300,52,2704,4,16
1,0,4,52,3,4,1167,52,2704,9,16
0,1,3,36,2,3,1063,0,1296,4,9
0,1,5,36,1,2,1508,0,1296,1,25
0,1,2,36,3,2,1169,0,1296,9,4
1,0,6,53,4,4,1993,53,2809,16,36
1,0,2,51,3,3,1166,51,2601,9,4
1,0,8,53,3,3,1538,53,2809,9,64
1,0,3,53,6,4,1809,53,2809,36,9
0,1,5,38,4,3,1642,0,1444,16,25
1,0,7,54,5,3,2279,54,2916,25,49
0,1,0,35,5,4,1316,0,1225,25,0
1,0,3,53,6,4,1655,53,2809,36,9
0,1,1,36,4,5,1379,0,1296,16,1
1,0,0,48,1,4,915,48,2304,1,0
1,0,6,52,2,6,1840,52,2704,4,36
1,0,6,52,2,4,1493,52,2704,4,36
1,0,6,52,2,4,1516,52,2704,4,36
1,0,8,53,2,5,2099,53,2809,4,64
1,0,5,53,3,5,1968,53,2809,9,25
0,1,5,37,2,4,1109,0,1369,4,25
0,1,5,36,1,5,1217,0,1296,1,25
0,1,4,37,3,4,1214,0,1369,9,16
0,1,5,37,2,3,1131,0,1369,4,25
1,0,5,54,5,3,1739,54,2916,25,25
1,0,3,52,3,4,1363,52,2704,9,9
1,0,8,54,5,3,2380,54,2916,25,64
0,1,3,36,1,3,1181,0,1296,1,9
1,0,6,53,3,4,1996,53,2809,9,36
1,0,9,54,3,5,2298,54,2916,9,81
1,0,7,54,4,6,2222,54,2916,16,49
0,1,6,38,3,4,1743,0,1444,9,36
1,0,6,52,2,5,1797,52,2704,4,36
0,1,4,36,1,7,968,0,1296,1,16
1,0,2,51,3,5,1160,51,2601,9,4
0,1,4,37,3,3,1391,0,1369,9,16
1,0,9,54,3,6,1910,54,2916,9,81
1,0,8,53,3,3,1982,53,2809,9,64
1,0,3,51,2,6,1261,51,2601,4,9
1,0,3,51,2,4,1554,51,2601,4,9
1,0,6,51,0,5,1558,51,2601,0,36
0,1,3,37,3,6,1385,0,1369,9,9
1,0,3,53,6,2,1777,53,2809,36,9
1,0,7,53,3,5,1507,53,2809,9,49
1,0,2,52,4,4,2153,52,2704,16,4
0,1,7,37,1,3,1037,0,1369,1,49
1,0,7,53,3,4,1748,53,2809,9,49
0,1,5,36,1,5,1057,0,1296,1,25
0,1,2,34,0,5,1067,0,1156,0,4
1,0,7,53,2,5,1731,53,2809,4,49
1,0,6,52,1,6,1252,52,2704,1,36
1,0,4,52,3,5,1452,52,2704,9,16
1,0,2,51,3,2,1122,51,2601,9,4
1,0,5,52,2,3,1356,52,2704,4,25
0,1,5,36,1,4,973,0,1296,1,25
0,1,3,36,2,5,847,0,1296,4,9
0,1,7,38,3,5,1590,0,1444,9,49
1,0,2,51,2,5,1318,51,2601,4,4
1,0,2,51,2,4,1028,51,2601,4,4
1,0,3,52,3,4,1040,52,2704,9,9
1,0,5,53,3,4,1795,53,2809,9,25
0,1,4,37,2,4,1658,0,1369,4,16
1,0,6,52,1,4,1228,52,2704,1,36
0,1,4,36,1,5,783,0,1296,1,16
1,0,10,53,1,6,1947,53,2809,1,100
0,1,3,38,5,1,1669,0,1444,25,9
0,1,3,36,2,5,1405,0,1296,4,9
1,0,4,50,0,3,1392,50,2500,0,16
1,0,7,53,2,4,1696,53,2809,4,49
1,0,2,53,6,4,1480,53,2809,36,4
0,1,6,37,2,5,1676,0,1369,4,36
0,1,10,38,2,5,1627,0,1444,4,100
1,0,12,55,5,3,2793,55,3025,25,144
0,1,5,37,2,3,1583,0,1369,4,25
0,1,6,37,1,4,1178,0,1369,1,36
1,0,7,52,1,4,1808,52,2704,1,49
0,1,8,38,3,3,1883,0,1444,9,64
1,0,7,53,2,2,1759,53,2809,4,49
1,0,3,52,3,4,997,52,2704,9,9
1,0,4,53,4,4,1488,53,2809,16,16
1,0,2,51,2,4,1044,51,2601,4,4
1,0,6,52,2,5,1390,52,2704,4,36
0,1,4,38,4,3,1313,0,1444,16,16
1,0,7,52,1,4,1667,52,2704,1,49
1,0,6,53,4,4,1854,53,2809,16,36
1,0,6,52,2,3,1192,52,2704,4,36
1,0,1,52,5,3,1384,52,2704,25,1
1,0,4,53,4,3,1594,53,2809,16,16
1,0,4,52,3,3,1605,52,2704,9,16
1,0,7,53,3,4,1816,53,2809,9,49
1,0,1,50,2,6,855,50,2500,4,1
1,0,2,51,3,4,1206,51,2601,9,4
1,0,4,51,1,3,1158,51,2601,1,16
1,0,4,53,4,6,1456,53,2809,16,16
0,1,10,41,8,5,3259,0,1681,64,100
0,1,6,37,2,3,1329,0,1369,4,36
0,1,7,39,5,4,1625,0,1521,25,49
1,0,3,53,5,5,2173,53,2809,25,9
0,1,7,37,1,3,1608,0,1369,1,49
1,0,5,51,1,3,1382,51,2601,1,25
1,0,5,51,1,3,1411,51,2601,1,25
1,0,5,52,2,5,1267,52,2704,4,25
0,1,4,38,4,1,1696,0,1444,16,16
0,1,3,37,3,2,992,0,1369,9,9
1,0,4,51,1,4,706,51,2601,1,16
0,1,3,39,7,5,1633,0,1521,49,9
0,1,4,37,3,6,1593,0,1369,9,16
1,0,5,53,3,4,1102,53,2809,9,25
1,0,5,53,4,4,1605,53,2809,16,25
1,0,1,53,7,4,1900,53,2809,49,1
1,0,6,52,1,5,1233,52,2704,1,36
1,0,7,53,3,4,1584,53,2809,9,49
1,0,4,51,1,5,1413,51,2601,1,16
1,0,9,55,5,4,2600,55,3025,25,81
1,0,8,55,6,3,2461,55,3025,36,64
1,0,4,52,3,3,1667,52,2704,9,16
1,0,3,52,3,4,1570,52,2704,9,9
0,1,7,37,1,4,1419,0,1369,1,49
1,0,1,51,4,3,1284,51,2601,16,1
1,0,3,52,3,3,1377,52,2704,9,9
0,1,6,38,4,6,1871,0,1444,16,36
1,0,7,52,1,2,1738,52,2704,1,49
0,1,2,36,2,3,850,0,1296,4,4
1,0,6,52,2,5,1519,52,2704,4,36
0,1,4,38,4,2,1684,0,1444,16,16
0,1,4,38,5,4,1304,0,1444,25,16
1,0,5,54,5,3,2027,54,2916,25,25
1,0,8,52,1,3,1292,52,2704,1,64
1,0,3,53,5,6,1691,53,2809,25,9
1,0,3,52,4,5,1414,52,2704,16,9
0,1,1,35,2,3,702,0,1225,4,1
1,0,4,53,4,3,1780,53,2809,16,16
0,1,4,40,9,5,2595,0,1600,81,16
1,0,5,52,2,3,1441,52,2704,4,25
1,0,8,53,3,3,2049,53,2809,9,64
1,0,3,52,3,3,1503,52,2704,9,9
1,0,7,53,2,3,1328,53,2809,4,49
0,1,0,34,3,4,1149,0,1156,9,0
1,0,5,51,1,4,1173,51,2601,1,25
0,1,3,36,1,4,427,0,1296,1,9
1,0,7,55,6,3,2267,55,3025,36,49
0,1,8,36,0,6,1659,0,1296,0,64
0,1,5,35,0,3,974,0,1225,0,25
1,0,1,52,6,5,1831,52,2704,36,1
1,0,3,52,3,4,1706,52,2704,9,9
1,0,4,53,5,5,1462,53,2809,25,16
0,1,6,38,4,3,1931,0,1444,16,36
0,1,4,38,4,4,1592,0,1444,16,16
1,0,5,53,4,6,1862,53,2809,16,25
1,0,4,53,4,5,1572,53,2809,16,16
1,0,8,52,1,3,1570,52,2704,1,64
1,0,5,53,3,5,1803,53,2809,9,25
1,0,7,52,1,5,1591,52,2704,1,49
1,0,8,53,2,3,1297,53,2809,4,64
1,0,3,52,3,4,1689,52,2704,9,9
1,0,3,52,3,3,1413,52,2704,9,9
1,0,7,51,0,4,1329,51,2601,0,49
0,1,5,39,6,4,2199,0,1521,36,25
0,1,5,38,3,4,1683,0,1444,9,25
0,1,2,37,4,4,1543,0,1369,16,4
1,0,6,53,4,4,1817,53,2809,16,36
0,1,7,39,4,4,2025,0,1521,16,49
0,1,1,37,5,4,1444,0,1369,25,1
1,0,7,54,5,6,2131,54,2916,25,49
1,0,6,53,3,5,1551,53,2809,9,36
1,0,6,52,1,4,1159,52,2704,1,36
1,0,6,53,4,6,1470,53,2809,16,36
0,1,6,37,2,4,1446,0,1369,4,36
1,0,8,53,2,4,1806,53,2809,4,64
1,0,6,52,2,4,1300,52,2704,4,36
1,0,3,52,4,5,1891,52,2704,16,9
1,0,6,53,4,4,2060,53,2809,16,36
0,1,5,38,3,4,1817,0,1444,9,25
0,1,1,35,2,3,580,0,1225,4,1
1,0,4,51,1,4,1130,51,2601,1,16
1,0,4,53,4,3,1617,53,2809,16,16
0,1,2,36,2,4,946,0,1296,4,4
0,1,6,38,4,4,1838,0,1444,16,36
0,1,6,38,4,4,1820,0,1444,16,36
1,0,4,51,1,3,644,51,2601,1,16
1,0,6,53,4,5,1908,53,2809,16,36
1,0,6,53,3,4,1654,53,2809,9,36
1,0,4,54,6,4,1925,54,2916,36,16
1,0,3,51,2,3,1363,51,2601,4,9
1,0,6,53,3,3,1760,53,2809,9,36
1,0,2,52,4,4,1518,52,2704,16,4
0,1,8,39,4,3,2175,0,1521,16,64
1,0,4,52,2,6,1143,52,2704,4,16
1,0,2,53,7,4,2300,53,2809,49,4
1,0,5,51,1,4,1274,51,2601,1,25
0,1,8,39,5,3,1654,0,1521,25,64
1,0,2,50,1,4,1523,50,2500,1,4
1,0,6,53,3,4,2167,53,2809,9,36
0,1,4,37,2,4,1549,0,1369,4,16
1,0,5,54,7,5,2036,54,2916,49,25
1,0,0,51,6,5,1889,51,2601,36,0
0,1,5,38,4,4,1595,0,1444,16,25
1,0,4,52,2,4,1151,52,2704,4,16
1,0,10,54,3,5,2036,54,2916,9,100
1,0,1,50,1,5,1034,50,2500,1,1
1,0,6,51,0,4,1141,51,2601,0,36
1,0,2,51,2,4,1317,51,2601,4,4
1,0,4,52,2,3,1236,52,2704,4,16
1,0,3,51,2,4,1308,51,2601,4,9
1,0,7,53,2,3,2070,53,2809,4,49
1,0,6,53,3,5,1656,53,2809,9,36
1,0,4,53,5,4,1859,53,2809,25,16
1,0,4,53,5,4,1874,53,2809,25,16
1,0,9,56,7,4,2637,56,3136,49,81
1,0,3,51,2,5,1355,51,2601,4,9
0,1,4,35,0,5,950,0,1225,0,16
0,1,3,38,5,2,1954,0,1444,25,9
1,0,10,53,2,4,2075,53,2809,4,100
1,0,8,55,6,2,2381,55,3025,36,64
1,0,7,53,3,4,1716,53,2809,9,49
0,1,3,36,1,6,887,0,1296,1,9
1,0,11,56,7,5,2558,56,3136,49,121
1,0,4,52,2,3,991,52,2704,4,16
1,0,6,54,6,3,2274,54,2916,36,36
1,0,2,52,4,5,1449,52,2704,16,4
1,0,2,51,3,4,1291,51,2601,9,4
1,0,3,51,2,4,1151,51,2601,4,9
1,0,6,52,2,4,1055,52,2704,4,36
1,0,2,52,4,4,1805,52,2704,16,4
0,1,6,39,5,4,1773,0,1521,25,36
0,1,8,39,5,4,1824,0,1521,25,64
1,0,3,52,4,3,1655,52,2704,16,9
1,0,4,53,5,3,1556,53,2809,25,16
1,0,3,51,1,3,827,51,2601,1,9
1,0,4,52,3,3,1269,52,2704,9,16
0,1,5,38,4,4,1282,0,1444,16,25
1,0,3,53,6,5,2030,53,2809,36,9
1,0,5,53,3,6,1677,53,2809,9,25
1,0,5,50,0,5,994,50,2500,0,25
1,0,4,52,3,5,1637,52,2704,9,16
1,0,8,54,5,6,1958,54,2916,25,64
1,0,8,52,1,3,1728,52,2704,1,64
1,0,7,53,3,4,1903,53,2809,9,49
0,1,5,39,5,4,1883,0,1521,25,25
0,1,4,39,6,5,1839,0,1521,36,16
0,1,9,39,3,5,1870,0,1521,9,81
0,1,4,38,4,6,1064,0,1444,16,16
1,0,3,52,4,4,1571,52,2704,16,9
1,0,6,53,4,4,2127,53,2809,16,36
1,0,5,52,2,3,1785,52,2704,4,25
1,0,4,53,4,3,1310,53,2809,16,16
1,0,3,51,2,5,1081,51,2601,4,9
1,0,7,54,4,6,1615,54,2916,16,49
0,1,7,38,2,4,1231,0,1444,4,49
1,0,4,52,3,5,1372,52,2704,9,16
0,1,4,35,0,6,702,0,1225,0,16
1,0,5,50,0,5,1338,50,2500,0,25
1,0,5,51,1,5,909,51,2601,1,25
1,0,4,51,1,4,1364,51,2601,1,16
0,1,3,36,1,4,885,0,1296,1,9
0,1,7,39,4,3,2082,0,1521,16,49
1,0,4,51,1,4,843,51,2601,1,16
1,0,3,52,4,4,1367,52,2704,16,9
1,0,2,52,5,6,1325,52,2704,25,4
1,0,6,53,3,4,1981,53,2809,9,36
1,0,2,53,7,2,1967,53,2809,49,4
1,0,7,54,4,5,1852,54,2916,16,49
1,0,7,53,3,5,2084,53,2809,9,49
1,0,4,52,2,6,1214,52,2704,4,16
1,0,7,53,2,3,1870,53,2809,4,49
1,0,4,53,4,6,1719,53,2809,16,16
1,0,6,53,4,5,2035,53,2809,16,36
0,1,7,37,1,3,1397,0,1369,1,49
1,0,8,54,4,5,1500,54,2916,16,64
0,1,5,37,2,3,1201,0,1369,4,25
0,1,1,35,1,2,679,0,1225,1,1
1,0,4,53,5,5,1788,53,2809,25,16
0,1,6,39,5,4,1518,0,1521,25,36
1,0,4,52,2,4,1094,52,2704,4,16
1,0,6,53,4,3,2193,53,2809,16,36
1,0,6,54,5,5,2067,54,2916,25,36
1,0,4,52,2,4,805,52,2704,4,16
0,1,7,38,3,4,1434,0,1444,9,49
0,1,11,40,5,4,2144,0,1600,25,121
0,1,4,39,6,4,2001,0,1521,36,16
0,1,4,38,4,4,1634,0,1444,16,16
1,0,7,52,1,4,1218,52,2704,1,49
0,1,6,38,4,5,1132,0,1444,16,36
0,1,3,38,5,6,1884,0,1444,25,9
0,1,6,38,4,4,1719,0,1444,16,36
1,0,5,53,3,6,1626,53,2809,9,25
0,1,5,38,4,4,1885,0,1444,16,25
0,1,6,39,5,4,2296,0,1521,25,36
1,0,4,54,7,5,2543,54,2916,49,16
1,0,5,54,6,4,2405,54,2916,36,25
1,0,5,52,2,3,1388,52,2704,4,25
0,1,5,38,4,1,1199,0,1444,16,25
1,0,5,53,3,4,1982,53,2809,9,25
1,0,6,52,2,4,1558,52,2704,4,36
1,0,6,52,2,4,1351,52,2704,4,36
1,0,4,50,0,4,1255,50,2500,0,16
0,1,4,36,1,6,1199,0,1296,1,16
1,0,2,52,5,4,1713,52,2704,25,4
1,0,5,54,5,2,2069,54,2916,25,25
1,0,3,54,7,3,1958,54,2916,49,9
0,1,5,38,3,3,1562,0,1444,9,25
0,1,5,38,4,5,1758,0,1444,16,25
0,1,4,36,1,5,1041,0,1296,1,16
0,1,7,40,7,5,2237,0,1600,49,49
1,0,6,52,1,4,1212,52,2704,1,36
1,0,6,54,5,3,1938,54,2916,25,36
0,1,4,37,2,3,1399,0,1369,4,16
1,0,5,51,1,5,1192,51,2601,1,25
0,1,7,39,5,3,1975,0,1521,25,49
1,0,2,51,2,5,1179,51,2601,4,4
1,0,6,53,3,4,1566,53,2809,9,36
1,0,8,53,2,4,1723,53,2809,4,64
